Rank	Title	SJR	Publisher	Categories
85	Genome Research	9.556	Cold Spring Harbor Laboratory Press	Genetics 
86	Nature Structural and Molecular Biology	9.448	Nature Publishing Group	Molecular Biology 
87	Annual Review of Pathology: Mechanisms of Disease	9.417	Annual Reviews Inc.	Medicine 
88	Foundations and Trends in Finance	9.231	Now Publishers Inc	Economics and Econometrics 
89	Clinical Microbiology Reviews	9.177	American Society for Microbiology	Epidemiology 
90	Progress in Materials Science	9.172	Elsevier	Materials Science 
91	Nature Physics	9.157	Nature Publishing Group	Physics and Astronomy 
92	Annual Review of Biophysics	9.144	Annual Reviews Inc.	Biochemistry 
93	Nature Immunology	9.074	Nature Publishing Group	Immunology 
94	"Lancet Respiratory Medicine	The"	9.03	Elsevier	Pulmonary and Respiratory Medicine 
95	Genome Biology	9.027	BioMed Central Ltd.	Cell Biology 
96	Nucleic Acids Research	9.008	Oxford University Press	Genetics 
97	Review of Economics and Statistics	8.999	MIT Press Journals	Economics and Econometrics 
98	Journal of Consumer Research	8.916	Oxford University Press	Anthropology 
99	Cell Stem Cell	8.86	Cell Press	Cell Biology 
100	NCHS data brief	8.856	U.S. National Center for Health Statistics	Medicine 
101	JAMA Oncology	8.846	American Medical Association	Cancer Research 
102	Science immunology	8.83	American Association for the Advancement of Science	Immunology 
103	Nature Reviews Gastroenterology and Hepatology	8.801	Nature Publishing Group	Gastroenterology 
104	Trends in Cell Biology	8.705	Elsevier	Cell Biology 
105	ACS Energy Letters	8.632	American Chemical Society	Chemistry 
106	"Lancet Diabetes and Endocrinology	The"	8.596	Elsevier	Endocrinology 
107	Journal of the American Mathematical Society	8.574	American Mathematical Society	Applied Mathematics 
108	Molecular Systems Biology	8.523	Wiley-Blackwell	Agricultural and Biological Sciences 
109	Journal of Experimental Medicine	8.483	Rockefeller University Press	Immunology 
110	Accounts of Chemical Research	8.454	American Chemical Society	Chemistry 
111	Academy of Management Review	8.446	Academy of Management	"Business	 Management and Accounting "
112	Gut	8.413	BMJ Publishing Group	Gastroenterology 
113	Materials Science and Engineering: R: Reports	8.366	Elsevier	Condensed Matter Physics 
114	Annual Review of Condensed Matter Physics	8.316	Annual Reviews Inc.	Condensed Matter Physics 
115	Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques	8.298	Springer Verlag	Mathematics 
116	Annual Review of Clinical Psychology	8.259	Annual Reviews Inc.	Clinical Psychology 
117	Journal of Labor Economics	8.184	University of Chicago	Economics and Econometrics 
118	Pharmacological Reviews	8.176	American Society for Pharmacology and Experimental Therapeutics	Molecular Medicine 
119	Progress in Energy and Combustion Science	8.089	Elsevier	Chemical Engineering 
120	Reviews of Geophysics	8.087	Wiley-Blackwell	Geophysics 
121	Materials Today	8.071	Elsevier	Condensed Matter Physics 
122	Trends in Chemistry	8.037	Cell Press	Chemistry 
123	Annals of Mathematics	8.01	Princeton University Press	Statistics and Probability 
124	Morbidity and Mortality Weekly Report	7.992	Department of Health and Human Services	Epidemiology 
125	Cell Host and Microbe	7.985	Cell Press	Cancer Research 
126	"Lancet Global Health	The"	7.97	Elsevier	Medicine 
127	Annals of Oncology	7.954	Elsevier	Hematology 
128	Physical Review X	7.94	American Physical Society	Physics and Astronomy 
129	American Economic Journal: Economic Policy	7.868	American Economic Association	"Economics	 Econometrics and Finance "
130	"Annual Review of Ecology	 Evolution	 and Systematics"	7.849	Annual Reviews Inc.	Ecology 
131	Gastroenterology	7.828	W.B. Saunders Ltd	Gastroenterology 
132	Annual Review of Microbiology	7.817	Annual Reviews Inc.	Medicine 
133	Journal of Marketing	7.799	American Marketing Association	Business and International Management 
134	Circulation	7.795	Lippincott Williams and Wilkins Ltd.	Cardiology and Cardiovascular Medicine 
135	Journal of the European Economic Association	7.792	Wiley-Blackwell	"Economics	 Econometrics and Finance "
136	Fungal Diversity	7.743	Springer Netherlands	Ecology 
137	Nature Reviews Endocrinology	7.653	Nature Publishing Group	Endocrinology 
138	Cell Systems	7.638	Cell Press	Cell Biology 
139	Journal of Statistical Software	7.636	University of California at Los Angeles	Software 
140	JAMA Psychiatry	7.531	American Medical Association	Medicine 
141	Reports on Progress in Physics	7.53	IOP Publishing Ltd.	Medicine 
142	Journal of Management	7.491	SAGE Publications Inc.	Finance 
143	EMBO Journal	7.484	Wiley-Blackwell	"Biochemistry	 Genetics and Molecular Biology "
144	"Lancet Infectious Diseases	 The"	7.475	Lancet Publishing Group	Infectious Diseases 
145	Nature Protocols	7.471	Nature Publishing Group	"Biochemistry	 Genetics and Molecular Biology "
146	"Lancet Psychiatry	The"	7.447	Elsevier	Biological Psychiatry 
147	Cell Research	7.395	Nature Publishing Group	Cell Biology 
148	Acta Crystallographica Section D: Structural Biology	7.374	John Wiley and Sons Inc.	Structural Biology 
149	Manufacturing and Service Operations Management	7.372	INFORMS Institute for Operations Research and the Management Sciences	Management Science and Operations Research 
150	Nature Microbiology	7.305	Nature Publishing Group	Applied Microbiology and Biotechnology 
151	Molecular Cancer	7.274	BioMed Central Ltd.	Cancer Research 
152	Nature Reviews Neurology	7.271	Nature Publishing Group	Cellular and Molecular Neuroscience 
153	"Lancet Public Health	 The"	7.226	Elsevier	"Public Health	 Environmental and Occupational Health "
154	Progress in Retinal and Eye Research	7.198	Elsevier	Ophthalmology 
155	Acta Neuropathologica	7.183	Springer Verlag	Cellular and Molecular Neuroscience 
156	Annual Review of Economics	7.162	Annual Reviews Inc.	Economics and Econometrics 
157	Progress in Particle and Nuclear Physics	7.159	Elsevier	Nuclear and High Energy Physics 
158	Genes and Development	7.136	Cold Spring Harbor Laboratory Press	Developmental Biology 
159	Brookings Papers on Economic Activity	7.134	Brookings Institution Press	"Business	 Management and Accounting "
160	Systematic Biology	7.128	Oxford University Press	"Ecology	 Evolution	 Behavior and Systematics "
161	Journal of the American Chemical Society	7.115	American Chemical Society	Biochemistry 
162	Journal of Hepatology	7.112	Elsevier	Hepatology 
163	Journal of Business Venturing	7.107	Elsevier	Business and International Management 
164	Chem	7.057	Elsevier	Biochemistry 
165	Psychological Methods	6.981	American Psychological Association Inc.	History and Philosophy of Science 
166	Organization Science	6.96	INFORMS Institute for Operations Research and the Management Sciences	Management of Technology and Innovation 
167	Physics Reports	6.914	Elsevier	Physics and Astronomy 
168	Living Reviews in Solar Physics	6.861	Springer International Publishing AG	Astronomy and Astrophysics 
169	Trends in Cognitive Sciences	6.857	Elsevier	Cognitive Neuroscience 
170	Ecology Letters	6.852	Wiley-Blackwell Publishing Ltd	"Ecology	 Evolution	 Behavior and Systematics "
171	Annual Review of Fluid Mechanics	6.842	Annual Reviews Inc.	Condensed Matter Physics 
172	Immunological Reviews	6.839	Wiley-Blackwell Publishing Ltd	Immunology 
173	Science Translational Medicine	6.819	American Association for the Advancement of Science	Medicine 
174	Cancer Discovery	6.795	American Association for Cancer Research Inc.	Oncology 
175	Journal of Accounting Research	6.767	Wiley-Blackwell Publishing Ltd	Accounting 
176	Nature Climate Change	6.749	Nature Publishing Group	Environmental Science 
177	Alzheimer's and Dementia	6.713	Elsevier	Cellular and Molecular Neuroscience 
178	American Journal of Human Genetics	6.661	Cell Press	Genetics 
179	Advances in Optics and Photonics	6.638	The Optical Society	"Atomic and Molecular Physics	 and Optics "
180	Molecular Biology and Evolution	6.637	Oxford University Press	"Ecology	 Evolution	 Behavior and Systematics "
181	Diabetes Care	6.636	American Diabetes Association Inc.	Advanced and Specialized Nursing 
182	Journal of Accounting and Economics	6.607	Elsevier	Accounting 
183	IEEE Communications Surveys and Tutorials	6.605	Institute of Electrical and Electronics Engineers Inc.	Electrical and Electronic Engineering 
184	Journal of the Royal Statistical Society. Series B: Statistical Methodology	6.523	Wiley-Blackwell Publishing Ltd	Statistics and Probability 
185	Journal of Applied Psychology	6.522	American Psychological Association Inc.	Applied Psychology 
186	Trends in Ecology and Evolution	6.476	Elsevier	"Ecology	 Evolution	 Behavior and Systematics "
187	Nature Chemical Biology	6.412	Nature Publishing Group	Cell Biology 
188	Microbiology and Molecular Biology Reviews	6.358	American Society for Microbiology	Immunology and Microbiology 
189	Endocrine Reviews	6.357	The Endocrine Society	Endocrinology 
190	Trends in Immunology	6.349	Elsevier	Immunology 
191	American Journal of Political Science	6.347	Wiley-Blackwell Publishing Ltd	Political Science and International Relations 
192	Annals of the Rheumatic Diseases	6.333	BMJ Publishing Group	"Biochemistry	 Genetics and Molecular Biology "
193	Journal of Marketing Research	6.321	American Marketing Association	Business and International Management 
194	Trends in Biochemical Sciences	6.29	Elsevier	Biochemistry 
195	Journal of Clinical Investigation	6.278	The American Society for Clinical Investigation	Medicine 
